student_id,assignment_name,assignment_type,grade
1,Assignment 1,quiz,96
1,Assignment 2,test,46
1,Assignment 3,quiz,73
1,Assignment 4,homework,54
1,Assignment 5,project,50
1,Assignment 6,participation,47
1,Assignment 7,project,50
1,Assignment 8,quiz,100
1,Assignment 9,project,50
1,Assignment 10,test,46
1,Assignment 11,quiz,100
1,Assignment 12,participation,100
1,Assignment 13,homework,73
1,Assignment 14,test,53
1,Assignment 15,homework,78
1,Assignment 16,participation,57
1,Assignment 17,project,37
1,Assignment 18,test,90
1,Assignment 19,quiz,47
1,Assignment 20,participation,100
1,Assignment 21,project,68
1,Assignment 22,project,100
1,Assignment 23,homework,40
1,Assignment 24,quiz,41
1,Assignment 25,homework,84
1,Assignment 26,project,38
1,Assignment 27,test,89
1,Assignment 28,project,63
1,Assignment 29,participation,59
1,Assignment 30,participation,100
1,Assignment 31,homework,38
1,Assignment 32,homework,83
1,Assignment 33,homework,47
1,Assignment 34,participation,49
1,Assignment 35,project,57
1,Assignment 36,test,50
1,Assignment 37,quiz,64
1,Assignment 38,participation,89
1,Assignment 39,homework,48
1,Assignment 40,test,39
2,Assignment 1,quiz,100
2,Assignment 2,test,85
2,Assignment 3,quiz,100
2,Assignment 4,homework,100
2,Assignment 5,project,85
2,Assignment 6,participation,74
2,Assignment 7,project,100
2,Assignment 8,quiz,100
2,Assignment 9,project,100
2,Assignment 10,test,91
2,Assignment 11,quiz,100
2,Assignment 12,participation,100
2,Assignment 13,homework,100
2,Assignment 14,test,90
2,Assignment 15,homework,100
2,Assignment 16,participation,100
2,Assignment 17,project,80
2,Assignment 18,test,100
2,Assignment 19,quiz,99
2,Assignment 20,participation,100
2,Assignment 21,project,100
2,Assignment 22,project,100
2,Assignment 23,homework,98
2,Assignment 24,quiz,96
2,Assignment 25,homework,100
2,Assignment 26,project,77
2,Assignment 27,test,100
2,Assignment 28,project,100
2,Assignment 29,participation,100
2,Assignment 30,participation,100
2,Assignment 31,homework,94
2,Assignment 32,homework,100
2,Assignment 33,homework,69
2,Assignment 34,participation,100
2,Assignment 35,project,96
2,Assignment 36,test,84
2,Assignment 37,quiz,100
2,Assignment 38,participation,100
2,Assignment 39,homework,100
2,Assignment 40,test,85
3,Assignment 1,quiz,88
3,Assignment 2,test,43
3,Assignment 3,quiz,75
3,Assignment 4,homework,47
3,Assignment 5,project,31
3,Assignment 6,participation,37
3,Assignment 7,project,48
3,Assignment 8,quiz,86
3,Assignment 9,project,49
3,Assignment 10,test,31
3,Assignment 11,quiz,100
3,Assignment 12,participation,99
3,Assignment 13,homework,64
3,Assignment 14,test,33
3,Assignment 15,homework,77
3,Assignment 16,participation,45
3,Assignment 17,project,38
3,Assignment 18,test,78
3,Assignment 19,quiz,53
3,Assignment 20,participation,95
3,Assignment 21,project,73
3,Assignment 22,project,90
3,Assignment 23,homework,38
3,Assignment 24,quiz,38
3,Assignment 25,homework,40
3,Assignment 26,project,27
3,Assignment 27,test,93
3,Assignment 28,project,54
3,Assignment 29,participation,46
3,Assignment 30,participation,100
3,Assignment 31,homework,42
3,Assignment 32,homework,80
3,Assignment 33,homework,32
3,Assignment 34,participation,42
3,Assignment 35,project,36
3,Assignment 36,test,37
3,Assignment 37,quiz,60
3,Assignment 38,participation,71
3,Assignment 39,homework,44
3,Assignment 40,test,32
4,Assignment 1,quiz,85
4,Assignment 2,test,34
4,Assignment 3,quiz,55
