student_id,assignment_name,assignment_type,grade
1,Assignment 1,homework,100
1,Assignment 2,homework,88
1,Assignment 3,project,82
1,Assignment 4,homework,76
1,Assignment 5,homework,60
1,Assignment 6,homework,55
1,Assignment 7,quiz,44
1,Assignment 8,participation,46
1,Assignment 9,project,65
1,Assignment 10,quiz,100
1,Assignment 11,test,100
1,Assignment 12,homework,71
1,Assignment 13,project,90
1,Assignment 14,project,85
1,Assignment 15,project,49
1,Assignment 16,test,100
1,Assignment 17,participation,83
1,Assignment 18,quiz,100
1,Assignment 19,participation,89
1,Assignment 20,test,60
1,Assignment 21,homework,89
1,Assignment 22,test,93
1,Assignment 23,participation,68
1,Assignment 24,test,95
1,Assignment 25,quiz,42
1,Assignment 26,homework,75
1,Assignment 27,participation,81
1,Assignment 28,participation,100
1,Assignment 29,project,100
1,Assignment 30,project,94
1,Assignment 31,quiz,72
1,Assignment 32,homework,76
1,Assignment 33,participation,59
1,Assignment 34,participation,52
1,Assignment 35,quiz,50
1,Assignment 36,homework,79
1,Assignment 37,homework,100
1,Assignment 38,test,94
1,Assignment 39,test,73
1,Assignment 40,participation,40
2,Assignment 1,homework,100
2,Assignment 2,homework,84
2,Assignment 3,project,83
2,Assignment 4,homework,65
2,Assignment 5,homework,57
2,Assignment 6,homework,65
2,Assignment 7,quiz,55
2,Assignment 8,participation,53
2,Assignment 9,project,60
2,Assignment 10,quiz,100
2,Assignment 11,test,100
2,Assignment 12,homework,70
2,Assignment 13,project,63
2,Assignment 14,project,81
2,Assignment 15,project,57
2,Assignment 16,test,100
2,Assignment 17,participation,84
2,Assignment 18,quiz,81
2,Assignment 19,participation,99
2,Assignment 20,test,65
2,Assignment 21,homework,97
2,Assignment 22,test,82
2,Assignment 23,participation,76
2,Assignment 24,test,89
2,Assignment 25,quiz,47
2,Assignment 26,homework,82
2,Assignment 27,participation,93
2,Assignment 28,participation,100
2,Assignment 29,project,100
2,Assignment 30,project,79
2,Assignment 31,quiz,59
2,Assignment 32,homework,65
2,Assignment 33,participation,56
2,Assignment 34,participation,56
2,Assignment 35,quiz,52
2,Assignment 36,homework,74
2,Assignment 37,homework,93
2,Assignment 38,test,99
2,Assignment 39,test,70
2,Assignment 40,participation,52
3,Assignment 1,homework,100
3,Assignment 2,homework,100
3,Assignment 3,project,98
3,Assignment 4,homework,77
3,Assignment 5,homework,78
3,Assignment 6,homework,87
3,Assignment 7,quiz,73
3,Assignment 8,participation,74
3,Assignment 9,project,97
3,Assignment 10,quiz,100
3,Assignment 11,test,100
3,Assignment 12,homework,100
3,Assignment 13,project,100
3,Assignment 14,project,100
3,Assignment 15,project,83
3,Assignment 16,test,100
3,Assignment 17,participation,100
3,Assignment 18,quiz,100
3,Assignment 19,participation,100
3,Assignment 20,test,97
3,Assignment 21,homework,100
3,Assignment 22,test,100
3,Assignment 23,participation,100
3,Assignment 24,test,100
3,Assignment 25,quiz,61
3,Assignment 26,homework,100
3,Assignment 27,participation,100
3,Assignment 28,participation,100
3,Assignment 29,project,100
3,Assignment 30,project,100
3,Assignment 31,quiz,100
3,Assignment 32,homework,95
3,Assignment 33,participation,73
3,Assignment 34,participation,90
3,Assignment 35,quiz,71
3,Assignment 36,homework,94
3,Assignment 37,homework,100
3,Assignment 38,test,100
3,Assignment 39,test,100
3,Assignment 40,participation,74
4,Assignment 1,homework,100
4,Assignment 2,homework,100
4,Assignment 3,project,100
4,Assignment 4,homework,100
4,Assignment 5,homework,100
4,Assignment 6,homework,100
4,Assignment 7,quiz,93
4,Assignment 8,participation,92
4,Assignment 9,project,100
4,Assignment 10,quiz,100
4,Assignment 11,test,100
4,Assignment 12,homework,100
4,Assignment 13,project,100
4,Assignment 14,project,100
4,Assignment 15,project,99
4,Assignment 16,test,100
4,Assignment 17,participation,100
4,Assignment 18,quiz,100
4,Assignment 19,participation,100
4,Assignment 20,test,100
4,Assignment 21,homework,100
4,Assignment 22,test,100
4,Assignment 23,participation,100
4,Assignment 24,test,100
4,Assignment 25,quiz,93
4,Assignment 26,homework,100
4,Assignment 27,participation,100
4,Assignment 28,participation,100
4,Assignment 29,project,100
4,Assignment 30,project,100
4,Assignment 31,quiz,100
4,Assignment 32,homework,100
4,Assignment 33,participation,90
4,Assignment 34,participation,90
4,Assignment 35,quiz,85
4,Assignment 36,homework,100
4,Assignment 37,homework,100
4,Assignment 38,test,100
4,Assignment 39,test,100
4,Assignment 40,participation,85
5,Assignment 1,homework,100
5,Assignment 2,homework,100
5,Assignment 3,project,100
5,Assignment 4,homework,100
5,Assignment 5,homework,75
5,Assignment 6,homework,72
5,Assignment 7,quiz,72
5,Assignment 8,participation,67
5,Assignment 9,project,88
5,Assignment 10,quiz,100
5,Assignment 11,test,100
5,Assignment 12,homework,100
5,Assignment 13,project,100
5,Assignment 14,project,94
5,Assignment 15,project,82
5,Assignment 16,test,100
5,Assignment 17,participation,100
5,Assignment 18,quiz,100
5,Assignment 19,participation,100
5,Assignment 20,test,100
5,Assignment 21,homework,100
5,Assignment 22,test,100
5,Assignment 23,participation,100
5,Assignment 24,test,100
5,Assignment 25,quiz,73
5,Assignment 26,homework,100
5,Assignment 27,participation,100
5,Assignment 28,participation,100
5,Assignment 29,project,100
5,Assignment 30,project,100
5,Assignment 31,quiz,100
5,Assignment 32,homework,86
5,Assignment 33,participation,72
5,Assignment 34,participation,92
5,Assignment 35,quiz,81
5,Assignment 36,homework,100
5,Assignment 37,homework,100
5,Assignment 38,test,100
5,Assignment 39,test,100
5,Assignment 40,participation,61
6,Assignment 1,homework,100
6,Assignment 2,homework,100
6,Assignment 3,project,100
6,Assignment 4,homework,96
6,Assignment 5,homework,87
6,Assignment 6,homework,80
6,Assignment 7,quiz,63
6,Assignment 8,participation,76
6,Assignment 9,project,90
6,Assignment 10,quiz,100
6,Assignment 11,test,100
6,Assignment 12,homework,100
6,Assignment 13,project,100
6,Assignment 14,project,100
6,Assignment 15,project,83
6,Assignment 16,test,100
6,Assignment 17,participation,84
6,Assignment 18,quiz,100
6,Assignment 19,participation,100
6,Assignment 20,test,100
6,Assignment 21,homework,100
6,Assignment 22,test,100
6,Assignment 23,participation,100
6,Assignment 24,test,100
6,Assignment 25,quiz,63
6,Assignment 26,homework,100
6,Assignment 27,participation,100
6,Assignment 28,participation,100
6,Assignment 29,project,100
6,Assignment 30,project,100
6,Assignment 31,quiz,98
6,Assignment 32,homework,72
6,Assignment 33,participation,68
6,Assignment 34,participation,64
6,Assignment 35,quiz,70
6,Assignment 36,homework,100
6,Assignment 37,homework,100
6,Assignment 38,test,100
6,Assignment 39,test,100
6,Assignment 40,participation,80
7,Assignment 1,homework,100
7,Assignment 2,homework,100
7,Assignment 3,project,100
7,Assignment 4,homework,100
7,Assignment 5,homework,82
7,Assignment 6,homework,84
7,Assignment 7,quiz,65
7,Assignment 8,participation,80
7,Assignment 9,project,87
7,Assignment 10,quiz,100
7,Assignment 11,test,100
7,Assignment 12,homework,100
7,Assignment 13,project,100
7,Assignment 14,project,100
7,Assignment 15,project,68
7,Assignment 16,test,100
7,Assignment 17,participation,100
7,Assignment 18,quiz,100
7,Assignment 19,participation,100
7,Assignment 20,test,98
7,Assignment 21,homework,100
7,Assignment 22,test,100
7,Assignment 23,participation,100
7,Assignment 24,test,100
7,Assignment 25,quiz,70
7,Assignment 26,homework,100
7,Assignment 27,participation,100
7,Assignment 28,participation,100
7,Assignment 29,project,100
7,Assignment 30,project,100
7,Assignment 31,quiz,100
7,Assignment 32,homework,85
7,Assignment 33,participation,82
7,Assignment 34,participation,90
7,Assignment 35,quiz,78
7,Assignment 36,homework,100
7,Assignment 37,homework,100
7,Assignment 38,test,100
7,Assignment 39,test,100
7,Assignment 40,participation,86
8,Assignment 1,homework,100
8,Assignment 2,homework,78
8,Assignment 3,project,65
8,Assignment 4,homework,55
8,Assignment 5,homework,58
8,Assignment 6,homework,57
8,Assignment 7,quiz,48
8,Assignment 8,participation,46
8,Assignment 9,project,55
8,Assignment 10,quiz,100
8,Assignment 11,test,100
8,Assignment 12,homework,69
8,Assignment 13,project,91
8,Assignment 14,project,65
8,Assignment 15,project,57
8,Assignment 16,test,100
8,Assignment 17,participation,66
8,Assignment 18,quiz,95
8,Assignment 19,participation,100
8,Assignment 20,test,52
8,Assignment 21,homework,77
8,Assignment 22,test,62
8,Assignment 23,participation,58
8,Assignment 24,test,73
8,Assignment 25,quiz,43
8,Assignment 26,homework,80
8,Assignment 27,participation,72
8,Assignment 28,participation,92
8,Assignment 29,project,100
8,Assignment 30,project,73
8,Assignment 31,quiz,59
8,Assignment 32,homework,55
8,Assignment 33,participation,50
8,Assignment 34,participation,37
8,Assignment 35,quiz,52
8,Assignment 36,homework,62
8,Assignment 37,homework,68
8,Assignment 38,test,100
8,Assignment 39,test,52
8,Assignment 40,participation,35
9,Assignment 1,homework,86
9,Assignment 2,homework,50
9,Assignment 3,project,60
9,Assignment 4,homework,50
9,Assignment 5,homework,44
9,Assignment 6,homework,37
9,Assignment 7,quiz,35
9,Assignment 8,participation,46
9,Assignment 9,project,45
9,Assignment 10,quiz,84
9,Assignment 11,test,100
9,Assignment 12,homework,66
9,Assignment 13,project,64
9,Assignment 14,project,54
9,Assignment 15,project,40
9,Assignment 16,test,87
9,Assignment 17,participation,57
9,Assignment 18,quiz,71
9,Assignment 19,participation,67
9,Assignment 20,test,52
9,Assignment 21,homework,81
9,Assignment 22,test,53
9,Assignment 23,participation,58
9,Assignment 24,test,58
9,Assignment 25,quiz,33
9,Assignment 26,homework,65
9,Assignment 27,participation,57
9,Assignment 28,participation,82
9,Assignment 29,project,79
9,Assignment 30,project,54
9,Assignment 31,quiz,45
9,Assignment 32,homework,38
9,Assignment 33,participation,35
9,Assignment 34,participation,37
9,Assignment 35,quiz,40
9,Assignment 36,homework,48
9,Assignment 37,homework,54
9,Assignment 38,test,77
9,Assignment 39,test,52
9,Assignment 40,participation,34
10,Assignment 1,homework,78
10,Assignment 2,homework,59
10,Assignment 3,project,51
10,Assignment 4,homework,41
10,Assignment 5,homework,39
10,Assignment 6,homework,38
10,Assignment 7,quiz,25
10,Assignment 8,participation,34
10,Assignment 9,project,46
10,Assignment 10,quiz,86
10,Assignment 11,test,93
10,Assignment 12,homework,57
10,Assignment 13,project,62
10,Assignment 14,project,49
10,Assignment 15,project,36
10,Assignment 16,test,78
10,Assignment 17,participation,45
10,Assignment 18,quiz,76
10,Assignment 19,participation,58
10,Assignment 20,test,46
10,Assignment 21,homework,58
10,Assignment 22,test,61
10,Assignment 23,participation,38
10,Assignment 24,test,49
10,Assignment 25,quiz,36
10,Assignment 26,homework,52
10,Assignment 27,participation,59
10,Assignment 28,participation,86
