student_id,assignment_name,assignment_type,grade
1,Assignment 1,quiz,69
1,Assignment 2,project,98
1,Assignment 3,test,100
1,Assignment 4,test,100
1,Assignment 5,participation,100
1,Assignment 6,project,96
1,Assignment 7,test,100
1,Assignment 8,test,100
1,Assignment 9,homework,74
1,Assignment 10,quiz,77
1,Assignment 11,homework,100
1,Assignment 12,quiz,100
1,Assignment 13,test,100
1,Assignment 14,project,69
1,Assignment 15,test,100
1,Assignment 16,participation,100
1,Assignment 17,participation,98
1,Assignment 18,participation,74
1,Assignment 19,quiz,100
1,Assignment 20,quiz,100
1,Assignment 21,homework,100
1,Assignment 22,homework,100
1,Assignment 23,homework,100
1,Assignment 24,participation,91
1,Assignment 25,test,87
1,Assignment 26,homework,100
1,Assignment 27,participation,100
1,Assignment 28,participation,99
1,Assignment 29,project,100
1,Assignment 30,homework,75
1,Assignment 31,project,80
1,Assignment 32,participation,100
1,Assignment 33,test,100
1,Assignment 34,homework,100
1,Assignment 35,quiz,100
1,Assignment 36,participation,85
1,Assignment 37,quiz,100
1,Assignment 38,homework,100
1,Assignment 39,quiz,100
1,Assignment 40,project,99
2,Assignment 1,quiz,99
2,Assignment 2,project,100
2,Assignment 3,test,100
2,Assignment 4,test,100
2,Assignment 5,participation,100
2,Assignment 6,project,100
2,Assignment 7,test,98
2,Assignment 8,test,100
2,Assignment 9,homework,90
2,Assignment 10,quiz,56
2,Assignment 11,homework,100
2,Assignment 12,quiz,100
2,Assignment 13,test,100
2,Assignment 14,project,65
2,Assignment 15,test,100
2,Assignment 16,participation,100
2,Assignment 17,participation,100
2,Assignment 18,participation,83
2,Assignment 19,quiz,100
2,Assignment 20,quiz,100
2,Assignment 21,homework,78
2,Assignment 22,homework,100
2,Assignment 23,homework,95
2,Assignment 24,participation,100
2,Assignment 25,test,95
2,Assignment 26,homework,100
2,Assignment 27,participation,100
2,Assignment 28,participation,100
2,Assignment 29,project,100
2,Assignment 30,homework,86
2,Assignment 31,project,95
2,Assignment 32,participation,91
2,Assignment 33,test,100
2,Assignment 34,homework,100
2,Assignment 35,quiz,100
2,Assignment 36,participation,99
2,Assignment 37,quiz,100
2,Assignment 38,homework,100
2,Assignment 39,quiz,100
2,Assignment 40,project,100
3,Assignment 1,quiz,68
3,Assignment 2,project,79
3,Assignment 3,test,100
3,Assignment 4,test,65
3,Assignment 5,participation,100
3,Assignment 6,project,73
3,Assignment 7,test,68
3,Assignment 8,test,62
3,Assignment 9,homework,57
3,Assignment 10,quiz,61
3,Assignment 11,homework,100
3,Assignment 12,quiz,100
3,Assignment 13,test,65
3,Assignment 14,project,58
3,Assignment 15,test,100
3,Assignment 16,participation,72
3,Assignment 17,participation,62
3,Assignment 18,participation,55
3,Assignment 19,quiz,75
3,Assignment 20,quiz,100
3,Assignment 21,homework,59
3,Assignment 22,homework,100
3,Assignment 23,homework,92
3,Assignment 24,participation,70
3,Assignment 25,test,62
3,Assignment 26,homework,92
3,Assignment 27,participation,99
3,Assignment 28,participation,76
3,Assignment 29,project,100
3,Assignment 30,homework,47
3,Assignment 31,project,49
3,Assignment 32,participation,78
3,Assignment 33,test,77
3,Assignment 34,homework,100
3,Assignment 35,quiz,100
3,Assignment 36,participation,65
3,Assignment 37,quiz,100
3,Assignment 38,homework,100
3,Assignment 39,quiz,100
3,Assignment 40,project,90
4,Assignment 1,quiz,58
4,Assignment 2,project,70
4,Assignment 3,test,100
4,Assignment 4,test,65
4,Assignment 5,participation,100
4,Assignment 6,project,80
4,Assignment 7,test,82
4,Assignment 8,test,83
4,Assignment 9,homework,52
4,Assignment 10,quiz,53
4,Assignment 11,homework,100
4,Assignment 12,quiz,100
4,Assignment 13,test,68
4,Assignment 14,project,62
4,Assignment 15,test,100
4,Assignment 16,participation,100
4,Assignment 17,participation,81
4,Assignment 18,participation,51
4,Assignment 19,quiz,77
4,Assignment 20,quiz,95
4,Assignment 21,homework,74
4,Assignment 22,homework,100
4,Assignment 23,homework,70
4,Assignment 24,participation,56
4,Assignment 25,test,79
4,Assignment 26,homework,100
4,Assignment 27,participation,100
4,Assignment 28,participation,85
4,Assignment 29,project,100
4,Assignment 30,homework,50
4,Assignment 31,project,64
4,Assignment 32,participation,93
4,Assignment 33,test,83
4,Assignment 34,homework,100
4,Assignment 35,quiz,100
4,Assignment 36,participation,65
4,Assignment 37,quiz,98
4,Assignment 38,homework,86
4,Assignment 39,quiz,100
4,Assignment 40,project,90
5,Assignment 1,quiz,97
5,Assignment 2,project,100
5,Assignment 3,test,100
5,Assignment 4,test,100
5,Assignment 5,participation,100
5,Assignment 6,project,100
5,Assignment 7,test,100
5,Assignment 8,test,100
5,Assignment 9,homework,100
